"Week Ending Date","State","Observed Number","Upper Bound Threshold","Exceeds Threshold","Average Expected Count","Excess Estimate","Total Excess Estimate","Percent Excess Estimate","Year","Type","Outcome","Suppress","Note"
"2017-01-07","Alabama","1,121","1,136","false","1,059","62","29,601","5.85270037532","2017","Predicted (weighted)","All causes",,
"2017-01-14","Alabama","1,130","1,140","false","1,067","63","29,601","5.90610178747","2017","Predicted (weighted)","All causes",,
"2017-01-21","Alabama","1,048","1,142","false","1,071","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-01-28","Alabama","1,026","1,142","false","1,070","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-02-04","Alabama","1,036","1,142","false","1,068","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-02-11","Alabama","1,058","1,136","false","1,062","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-02-18","Alabama","1,060","1,132","false","1,057","3","29,601","0.28380368609","2017","Predicted (weighted)","All causes",,
"2017-02-25","Alabama","1,099","1,126","false","1,051","48","29,601","4.56754241636","2017","Predicted (weighted)","All causes",,
"2017-03-04","Alabama","1,081","1,119","false","1,042","39","29,601","3.74341415007","2017","Predicted (weighted)","All causes",,
"2017-03-11","Alabama","1,011","1,113","false","1,036","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-03-18","Alabama","1,067","1,106","false","1,031","36","29,601","3.49228098719","2017","Predicted (weighted)","All causes",,
"2017-03-25","Alabama","1,068","1,097","false","1,021","47","29,601","4.60151455432","2017","Predicted (weighted)","All causes",,
"2017-04-01","Alabama","991","1,090","false","1,014","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-04-08","Alabama","1,037","1,083","false","1,007","30","29,601","2.98023708492","2017","Predicted (weighted)","All causes",,
"2017-04-15","Alabama","1,017","1,066","false","992","25","29,601","2.51915646308","2017","Predicted (weighted)","All causes",,
"2017-04-22","Alabama","966","1,058","false","986","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-04-29","Alabama","996","1,053","false","982","14","29,601","1.4251620208","2017","Predicted (weighted)","All causes",,
"2017-05-06","Alabama","907","1,046","false","975","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-05-13","Alabama","1,064","1,041","true","972","92","29,601","9.46490078238","2017","Predicted (weighted)","All causes",,
"2017-05-20","Alabama","998","1,037","false","967","31","29,601","3.20649091919","2017","Predicted (weighted)","All causes",,
"2017-05-27","Alabama","988","1,031","false","961","27","29,601","2.81093711437","2017","Predicted (weighted)","All causes",,
"2017-06-03","Alabama","925","1,026","false","957","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-06-10","Alabama","984","1,020","false","952","32","29,601","3.36213868524","2017","Predicted (weighted)","All causes",,
"2017-06-17","Alabama","918","1,017","false","949","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-06-24","Alabama","961","1,011","false","946","15","29,601","1.58502170651","2017","Predicted (weighted)","All causes",,
"2017-07-01","Alabama","925","1,012","false","946","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-07-08","Alabama","954","1,010","false","943","11","29,601","1.16674438158","2017","Predicted (weighted)","All causes",,
"2017-07-15","Alabama","968","1,010","false","943","25","29,601","2.65020347622","2017","Predicted (weighted)","All causes",,
"2017-07-22","Alabama","964","1,009","false","944","20","29,601","2.11952863129","2017","Predicted (weighted)","All causes",,
"2017-07-29","Alabama","888","1,008","false","941","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-08-05","Alabama","949","1,006","false","941","8","29,601","0.85036431389","2017","Predicted (weighted)","All causes",,
"2017-08-12","Alabama","936","1,008","false","941","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-08-19","Alabama","933","1,011","false","946","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-08-26","Alabama","917","1,011","false","946","0","29,601","0","2017","Predicted (weighted)","All causes",,
"2017-09-02","Alabama","953","1,015","false","947","6","29,601","0.63330648351","2017","Predicted (weighted)","All causes",,
"2017-09-09","Alabama","960","1,019","false","951","9","29,601","0.94593894139","2017","Predicted (weighted)","All causes",,
