"data_as_of","jurisdiction_residence","year","month","group","subgroup1","subgroup2","COVID_deaths","crude_COVID_rate","aa_COVID_rate","crude_COVID_rate_ann","aa_COVID_rate_ann","footnote"
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Sex","Female",,"3",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Sex","Male",,"3",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","0-4 years",,"0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","12-17 years",,"0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","18-29 years",,"0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","30-39 years",,"0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","40-49 years",,"0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","5-11 years",,"0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","50-64 years",,"2",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","65-74 years",,"2",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Age","75 years and over",,"2",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race","Hispanic",,"1",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race","Non-Hispanic American Indian or Alaska Native",,"0","0","0","0","0",
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race","Non-Hispanic Asian",,"0","0","0","0","0",
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race","Non-Hispanic Asian, Native Hawaiian or Other Pacific Islander",,"0","0","0","0","0",
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race","Non-Hispanic Black",,"2",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race","Non-Hispanic Native Hawaiian or Other Pacific Islander",,"0","0","0","0","0",
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race","Non-Hispanic White",,"3",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","0-4 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","12-17 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","18-29 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","30-39 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","40-49 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","5-11 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","50-64 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","65-74 years","1",,,,,"Rates for death counts <20 are unreliable."
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Hispanic","75 years and over","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","0-4 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","12-17 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","18-29 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","30-39 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","40-49 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","5-11 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","50-64 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","65-74 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic American Indian or Alaska Native","75 years and over","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic Asian","0-4 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic Asian","12-17 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic Asian","18-29 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic Asian","30-39 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic Asian","40-49 years","0","0",,"0",,
"2026 Apr 20 12:00:00 AM","United States","2,020","1","Race and Age","Non-Hispanic Asian","5-11 years","0","0",,"0",,
