"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"1972","6","Washington","Water","Salmonella enterica","Typhi","Confirmed","Private home/residence","5",,,"0",,,,,"Drinking water","Individual/Private",
"1972","9","Washington","Water","Salmonella enterica","Newport","Confirmed","Outdoor Area","3",,,"0",,,,,"Other/Environmental water",,
"1973","2","Florida","Water","Salmonella enterica","Typhi","Confirmed","Camp/cabin","210",,,"0",,,,,"Drinking water","Other",
"1973","4","Maryland","Water","Salmonella enterica","Typhi","Confirmed","Farm/dairy/agricultural setting","2",,,"0",,,,,"Drinking water","Individual/Private",
"1974","6","Washington","Water","Salmonella enterica","Typhi","Confirmed","Private home/residence","5",,,"0",,,,,"Drinking water","Individual/Private",
"1976","7","Arkansas","Water","Salmonella enterica","Javiana","Confirmed","Mobile home/trailer park","7",,,"0",,,,,"Drinking water","Other",
"1978","7","Hawaii","Water","Salmonella enterica","Weltevreden","Confirmed","Camp/cabin","11",,,"0",,,,,"Drinking water","Other",
"1983","1","Oklahoma","Water","Salmonella enterica","Typhimurium","Confirmed","Community/municipality","400",,,"0",,,,,"Drinking water","Community",
"1983","7","Washington","Water","Salmonella enterica","Enteritidis","Confirmed","Restaurant","750","18",,"0",,,,,"Drinking water","Community",
"1985","6","Virgin Islands","Water","Salmonella enterica","Typhi","Confirmed","Community/municipality","60","48",,"0",,,,,"Drinking water","Community",
"1993","11","Missouri","Water","Salmonella enterica","Typhimurium","Confirmed","Community/municipality","650","15",,"7",,,,,"Drinking water","Community",
"1995","3","Idaho","Water","Salmonella enterica","Javiana","Confirmed","Outdoor Area","3","1",,"0",,,,,"Recreational water -- treated","Pool - Other Swimming Pool",
"1998","1","California","Food","Salmonella enterica","Enteritidis","Confirmed","Private home/residence","26","3","40","0","40","lasagna, unspecified;eggs, other",,"Multiple",,,
"1998","1","Washington","Food","Salmonella enterica","Enteritidis","Confirmed","Private home/residence","4","0",,"0",,"eggnog, homemade",,"Multiple",,,
"1998","1","Oregon","Food","Salmonella enterica","Typhimurium","Confirmed",,"8","0","8","0","8","homemade cheese, unspecified",,"Dairy",,,
"1998","1","New York","Food","Salmonella enterica","Group D1","Confirmed","Restaurant: Other","3","1","2","0","2",,,,,,
"1998","1","New York","Food","Salmonella enterica","Group B","Confirmed","Other","2",,,,,"sausage, dried",,"N/A",,,
"1998","1","Maryland","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","4","0","2","0","2","burrito, chicken",,"Multiple",,,
"1998","1","Maryland","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","8","0","14","0","14","eggs, other;cake, tiramisu",,"Multiple",,,
"1998","1","Maryland","Food","Salmonella enterica","Typhimurium","Confirmed","Private home/residence","5","1","5","0","5","chicken salad",,"Multiple",,,
"1998","1","Pennsylvania","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other;Caterer","4","2","5","0","5","meatballs;pasta, unspecified",,"Multiple",,,
"1998","1","California","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","4","3","6","0","6","stuffing, unspecified;sandwich, turkey",,"Multiple",,,
"1998","2","Connecticut","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","10",,,,,"shell eggs, scrambled hard;french toast, unspecified","egg","Eggs",,,
"1998","2","California","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","10","1","35","0","35","enchilada, chicken",,"Multiple",,,
"1998","2","Pennsylvania","Food","Salmonella enterica","Litchfield","Confirmed","Restaurant: Other","6","2","5","0","5",,,,,,
"1998","3","California","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","26",,,,,,,,,,
"1998","3","Ohio","Food","Salmonella enterica","Typhimurium","Confirmed","Other","7",,,,,,,,,,
"1998","3","Illinois","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","2","0","2","0","2","hollandaise sauce",,"Multiple",,,
"1998","3","Massachusetts","Food","Salmonella enterica","Typhimurium","Confirmed","Restaurant: Other","6",,"10",,"10",,,,,,
"1998","3","Virginia","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","23","5","23","0","23","pie, unspecified;eggs, other",,"Multiple",,,
"1998","3","California","Food","Salmonella enterica","Enteritidis","Confirmed","Restaurant: Other","4","0","6","0","6","rice, unspecified;chile relleno, unspecified;beans, unspecified",,"Multiple",,,
"1998","3","California","Food","Salmonella enterica","Enteritidis","Confirmed","Private home/residence","6","1","10","0","10","ice cream, unspecified;eggs, other",,"Multiple",,,
"1998","3","Florida","Food","Salmonella enterica",,"Suspected","Restaurant: Other","2","0","2","0","2","steak, other",,"Beef",,,
"1998","3","Florida","Food","Salmonella enterica","Enteritidis","Confirmed","School/college/university","2","1","2","0","2","hot dog, unspecified",,"N/A",,,
"1998","3","Florida","Food","Salmonella enterica",,"Suspected","Restaurant: Other","3","0","3","0","3","enchilada, chicken",,"Multiple",,,
